,fecha,dia,hora,SEN
,1/19/2024,19,1,"9,595.41"
,1/19/2024,19,2,"9,177.15"
,1/19/2024,19,3,"8,903.31"
,1/19/2024,19,4,"8,709.00"
,1/19/2024,19,5,"8,682.73"
,1/19/2024,19,6,"8,743.80"
,1/19/2024,19,7,"8,900.27"
,1/19/2024,19,8,"9,071.39"
,1/19/2024,19,9,"9,603.33"
,1/19/2024,19,10,"10,071.93"
,1/19/2024,19,11,"10,491.38"
,1/19/2024,19,12,"10,650.62"
,1/19/2024,19,13,"10,838.71"
,1/19/2024,19,14,"11,089.62"
,1/19/2024,19,15,"11,299.04"
,1/19/2024,19,16,"11,286.54"
,1/19/2024,19,17,"11,159.20"
,1/19/2024,19,18,"10,875.94"
,1/19/2024,19,19,"10,606.46"
,1/19/2024,19,20,"10,405.03"
,1/19/2024,19,21,"10,348.78"
,1/19/2024,19,22,"10,630.43"
,1/19/2024,19,23,"10,500.47"
,1/19/2024,19,24,"10,145.15"
,1/20/2024,20,1,"9,708.04"
,1/20/2024,20,2,"9,343.21"
,1/20/2024,20,3,"9,062.25"
,1/20/2024,20,4,"8,834.65"
,1/20/2024,20,5,"8,814.10"
,1/20/2024,20,6,"8,798.59"
,1/20/2024,20,7,"8,862.09"
,1/20/2024,20,8,"8,799.56"
,1/20/2024,20,9,"9,027.11"
,1/20/2024,20,10,"9,467.03"
,1/20/2024,20,11,"9,863.78"
,1/20/2024,20,12,"10,064.76"
,1/20/2024,20,13,"10,247.78"
,1/20/2024,20,14,"10,380.04"
,1/20/2024,20,15,"10,403.41"
,1/20/2024,20,16,"10,287.52"
,1/20/2024,20,17,"10,152.51"
,1/20/2024,20,18,"9,955.31"
,1/20/2024,20,19,"10,005.74"
,1/20/2024,20,20,"9,926.55"
,1/20/2024,20,21,"10,003.87"
,1/20/2024,20,22,"10,290.97"
,1/20/2024,20,23,"10,201.17"
,1/20/2024,20,24,"9,849.90"
,1/21/2024,21,1,"9,439.79"
,1/21/2024,21,2,"9,049.95"
,1/21/2024,21,3,"8,781.68"
,1/21/2024,21,4,"8,595.29"
,1/21/2024,21,5,"8,457.74"
,1/21/2024,21,6,"8,451.10"
,1/21/2024,21,7,"8,358.19"
,1/21/2024,21,8,"8,041.42"
,1/21/2024,21,9,"8,115.83"
,1/21/2024,21,10,"8,485.17"
,1/21/2024,21,11,"8,938.82"
,1/21/2024,21,12,"9,238.06"
,1/21/2024,21,13,"9,374.20"
,1/21/2024,21,14,"9,685.84"
,1/21/2024,21,15,"9,784.29"
,1/21/2024,21,16,"9,833.07"
,1/21/2024,21,17,"9,820.04"
,1/21/2024,21,18,"9,711.77"
,1/21/2024,21,19,"9,803.15"
,1/21/2024,21,20,"9,848.14"
,1/21/2024,21,21,"10,102.00"
,1/21/2024,21,22,"10,385.02"
,1/21/2024,21,23,"10,305.12"
,1/21/2024,21,24,"9,980.85"
,1/22/2024,22,1,"9,556.90"
,1/22/2024,22,2,"9,200.55"
,1/22/2024,22,3,"8,924.49"
,1/22/2024,22,4,"8,796.97"
,1/22/2024,22,5,"8,786.56"
,1/22/2024,22,6,"8,890.53"
,1/22/2024,22,7,"9,143.38"
,1/22/2024,22,8,"9,442.97"
,1/22/2024,22,9,"9,935.81"
,1/22/2024,22,10,"10,638.20"
,1/22/2024,22,11,"11,107.85"
,1/22/2024,22,12,"11,437.85"
,1/22/2024,22,13,"11,636.47"
,1/22/2024,22,14,"11,829.29"
,1/22/2024,22,15,"12,070.21"
,1/22/2024,22,16,"12,083.51"
,1/22/2024,22,17,"11,987.51"
,1/22/2024,22,18,"11,673.64"
,1/22/2024,22,19,"11,286.24"
,1/22/2024,22,20,"11,060.98"
,1/22/2024,22,21,"11,201.18"
,1/22/2024,22,22,"11,341.16"
,1/22/2024,22,23,"11,043.75"
,1/22/2024,22,24,"10,668.95"
,1/23/2024,23,1,"9,998.59"
,1/23/2024,23,2,"9,465.47"
,1/23/2024,23,3,"9,264.48"
,1/23/2024,23,4,"9,117.51"
,1/23/2024,23,5,"9,043.32"
,1/23/2024,23,6,"9,077.64"
,1/23/2024,23,7,"9,293.31"
,1/23/2024,23,8,"9,417.05"
,1/23/2024,23,9,"9,968.90"
,1/23/2024,23,10,"10,586.16"
,1/23/2024,23,11,"10,890.90"
,1/23/2024,23,12,"11,090.92"
,1/23/2024,23,13,"11,234.42"
,1/23/2024,23,14,"11,416.88"
,1/23/2024,23,15,"11,517.78"
,1/23/2024,23,16,"11,519.43"
,1/23/2024,23,17,"11,506.27"
,1/23/2024,23,18,"11,234.71"
,1/23/2024,23,19,"11,021.77"
,1/23/2024,23,20,"10,905.52"
,1/23/2024,23,21,"10,868.64"
,1/23/2024,23,22,"11,106.91"
,1/23/2024,23,23,"10,896.20"
,1/23/2024,23,24,"10,462.04"
,1/24/2024,24,1,"9,948.25"
,1/24/2024,24,2,"9,433.03"
,1/24/2024,24,3,"9,157.71"
,1/24/2024,24,4,"8,950.82"
,1/24/2024,24,5,"8,902.36"
,1/24/2024,24,6,"8,879.83"
,1/24/2024,24,7,"9,019.00"
,1/24/2024,24,8,"9,246.12"
,1/24/2024,24,9,"9,634.37"
,1/24/2024,24,10,"10,086.39"
,1/24/2024,24,11,"10,423.54"
,1/24/2024,24,12,"10,760.66"
,1/24/2024,24,13,"10,967.92"
,1/24/2024,24,14,"11,212.93"
,1/24/2024,24,15,"11,455.64"
,1/24/2024,24,16,"11,535.57"
,1/24/2024,24,17,"11,470.64"
,1/24/2024,24,18,"11,329.71"
,1/24/2024,24,19,"11,035.06"
,1/24/2024,24,20,"10,893.23"
,1/24/2024,24,21,"10,898.48"
,1/24/2024,24,22,"11,149.44"
,1/24/2024,24,23,"10,971.77"
,1/24/2024,24,24,"10,576.07"
,1/25/2024,25,1,"10,069.10"
,1/25/2024,25,2,"9,601.42"
,1/25/2024,25,3,"9,260.26"
,1/25/2024,25,4,"9,069.85"
,1/25/2024,25,5,"8,974.37"
,1/25/2024,25,6,"9,007.20"
,1/25/2024,25,7,"9,221.29"
,1/25/2024,25,8,"9,419.07"
,1/25/2024,25,9,"9,853.51"
,1/25/2024,25,10,"10,442.92"
,1/25/2024,25,11,"10,838.83"
,1/25/2024,25,12,"11,094.34"
,1/25/2024,25,13,"11,300.05"
,1/25/2024,25,14,"11,511.35"
,1/25/2024,25,15,"11,686.20"
,1/25/2024,25,16,"11,756.12"
,1/25/2024,25,17,"11,694.23"
,1/25/2024,25,18,"11,416.79"
,1/25/2024,25,19,"11,084.44"
,1/25/2024,25,20,"10,924.77"
,1/25/2024,25,21,"10,868.69"
,1/25/2024,25,22,"11,108.28"
,1/25/2024,25,23,"10,765.13"
,1/25/2024,25,24,"10,385.12"
,1/26/2024,26,1,"9,904.71"
,1/26/2024,26,2,"9,494.48"
,1/26/2024,26,3,"9,240.94"
,1/26/2024,26,4,"9,118.03"
,1/26/2024,26,5,"8,977.44"
,1/26/2024,26,6,"9,079.65"
,1/26/2024,26,7,"9,299.73"
,1/26/2024,26,8,"9,581.95"
,1/26/2024,26,9,"9,984.21"
,1/26/2024,26,10,"10,582.59"
,1/26/2024,26,11,"10,967.13"
,1/26/2024,26,12,"11,062.18"
,1/26/2024,26,13,"11,296.70"
,1/26/2024,26,14,"11,377.06"
,1/26/2024,26,15,"11,445.68"
,1/26/2024,26,16,"11,454.84"
,1/26/2024,26,17,"11,261.51"
,1/26/2024,26,18,"10,917.17"
,1/26/2024,26,19,"10,797.86"
,1/26/2024,26,20,"10,699.55"
,1/26/2024,26,21,"10,706.06"
,1/26/2024,26,22,"11,044.29"
,1/26/2024,26,23,"10,874.70"
,1/26/2024,26,24,"10,519.91"
,1/27/2024,27,1,"10,084.09"
,1/27/2024,27,2,"9,627.59"
,1/27/2024,27,3,"9,238.24"
,1/27/2024,27,4,"9,114.41"
,1/27/2024,27,5,"9,004.55"
,1/27/2024,27,6,"8,959.39"
,1/27/2024,27,7,"9,023.40"
,1/27/2024,27,8,"8,942.47"
,1/27/2024,27,9,"9,060.23"
,1/27/2024,27,10,"9,427.37"
,1/27/2024,27,11,"9,837.39"
,1/27/2024,27,12,"10,118.52"
,1/27/2024,27,13,"10,276.81"
,1/27/2024,27,14,"10,457.61"
,1/27/2024,27,15,"10,506.51"
,1/27/2024,27,16,"10,444.63"
,1/27/2024,27,17,"10,371.04"
,1/27/2024,27,18,"10,300.38"
,1/27/2024,27,19,"10,252.15"
,1/27/2024,27,20,"10,233.35"
,1/27/2024,27,21,"10,336.25"
,1/27/2024,27,22,"10,595.87"
,1/27/2024,27,23,"10,394.06"
,1/27/2024,27,24,"10,016.79"
,1/28/2024,28,1,"9,611.68"
,1/28/2024,28,2,"9,208.14"
,1/28/2024,28,3,"8,871.26"
,1/28/2024,28,4,"8,662.57"
,1/28/2024,28,5,"8,543.24"
,1/28/2024,28,6,"8,447.21"
,1/28/2024,28,7,"8,482.14"
,1/28/2024,28,8,"8,286.74"
,1/28/2024,28,9,"8,313.33"
,1/28/2024,28,10,"8,724.63"
,1/28/2024,28,11,"9,160.11"
,1/28/2024,28,12,"9,425.26"
,1/28/2024,28,13,"9,644.37"
,1/28/2024,28,14,"9,964.41"
,1/28/2024,28,15,"10,010.02"
,1/28/2024,28,16,"9,913.01"
,1/28/2024,28,17,"9,870.03"
,1/28/2024,28,18,"9,777.29"
,1/28/2024,28,19,"9,770.51"
,1/28/2024,28,20,"9,775.56"
,1/28/2024,28,21,"10,029.40"
,1/28/2024,28,22,"10,180.78"
,1/28/2024,28,23,"10,124.22"
,1/28/2024,28,24,"9,745.77"
,1/29/2024,29,1,"9,374.50"
,1/29/2024,29,2,"9,012.77"
,1/29/2024,29,3,"8,760.82"
,1/29/2024,29,4,"8,686.00"
,1/29/2024,29,5,"8,708.94"
,1/29/2024,29,6,"8,827.78"
,1/29/2024,29,7,"9,108.88"
,1/29/2024,29,8,"9,433.99"
,1/29/2024,29,9,"9,888.17"
,1/29/2024,29,10,"10,532.78"
,1/29/2024,29,11,"10,989.23"
,1/29/2024,29,12,"11,345.51"
,1/29/2024,29,13,"11,611.38"
,1/29/2024,29,14,"11,843.87"
,1/29/2024,29,15,"11,980.70"
,1/29/2024,29,16,"12,021.29"
,1/29/2024,29,17,"12,040.04"
,1/29/2024,29,18,"11,699.51"
,1/29/2024,29,19,"11,357.93"
,1/29/2024,29,20,"11,188.19"
,1/29/2024,29,21,"11,314.84"
,1/29/2024,29,22,"11,489.96"
,1/29/2024,29,23,"11,265.64"
,1/29/2024,29,24,"10,721.70"
,1/30/2024,30,1,"10,246.54"
